MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Name,Num Entries,Year,Time,Record Identifier,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW,Speed mph,hurricane_datetime,PathChange
255805914.0,2020-09-01 00:00:00,34.70562,-75.60953,16.2,52.8,55.0,ITAL CONTESSA,IMO9293806,CQIB6,70.0,0.0,332.0,42.0,14.5,71.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
636017112.0,2020-09-01 00:00:00,39.4275,-75.52683,14.7,318.0,319.0,POMERENIA SKY,IMO9339583,A8MG6,70.0,0.0,208.0,29.0,11.6,90.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
249922000.0,2020-09-01 00:00:00,41.58462,-71.2867,0.0,143.2,511.0,OLIVA,IMO9413705,9HA2075,70.0,15.0,225.0,32.0,12.0,71.0,B,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,stayed on course
220379000.0,2020-09-01 00:00:00,36.92358,-75.9211,6.2,305.6,302.0,GUDRUN MAERSK,IMO9302877,OYAU2,70.0,0.0,367.0,42.0,15.0,71.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
366235000.0,2020-09-01 00:00:00,32.84996,-79.93852,0.0,0.0,58.0,CAPE DOMINGO,IMO7229423,WMHV,70.0,5.0,207.0,29.0,9.9,71.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
366203000.0,2020-09-01 00:00:00,36.8657,-76.31572,0.0,38.6,511.0,SGT MATEJ KOCAK,IMO7802706,NKCK,70.0,5.0,250.0,32.0,10.2,71.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,stayed on course
308371000.0,2020-09-01 00:00:00,35.93562,-74.45473,15.0,18.0,13.0,LARVIK,IMO9307346,C6VC2,80.0,0.0,213.0,32.0,12.3,89.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
636013274.0,2020-09-01 00:00:00,40.63307,-74.20236,0.0,304.8,200.0,NS LAGUNA,IMO9339325,A8LU9,80.0,5.0,248.0,43.0,14.9,89.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
563000700.0,2020-09-01 00:00:00,40.68342,-74.15006,0.0,282.9,309.0,MAERSK SEVILLE,IMO9299927,9V5243,70.0,0.0,334.0,42.0,14.5,71.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
477598800.0,2020-09-01 00:00:00,38.42842,-73.60877,14.8,357.2,1.0,COSCO HOPE,IMO9472165,VRKF2,72.0,0.0,366.0,48.0,12.1,72.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
357214000.0,2020-09-01 00:00:00,33.09713,-77.16757,18.9,250.0,251.0,CMA CGM ALCAZAR,IMO9335197,3ENL3,70.0,0.0,294.0,32.0,13.5,79.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
355321000.0,2020-09-01 00:00:00,40.4999,-73.63732,0.0,89.0,178.0,CABO FROWARD,IMO9311359,3FBX5,80.0,1.0,228.0,32.0,12.2,80.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
563076200.0,2020-09-01 00:00:00,32.82872,-79.89487,2.3,42.6,29.0,MAERSK GATESHEAD,IMO9235543,9V6210,71.0,0.0,292.0,32.0,9.8,71.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
316004370.0,2020-09-01 00:00:00,43.43833,-78.5925,12.7,74.0,75.0,G3 MARQUIS,IMO9613941,XJBO,70.0,0.0,225.0,23.0,9.5,71.0,A,OMAR,27,9/1/2020,0,  , TD,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,2020-09-01 00:00:00,veered off course
