MMSI,LAT,LON,SOG,COG,Heading,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Num Entries,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW,Speed mph,PathChange
255805914.0,34.70562,-75.60953,16.2,52.8,55.0,70.0,0.0,332.0,42.0,14.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636017112.0,39.4275,-75.52683,14.7,318.0,319.0,70.0,0.0,208.0,29.0,11.6,90.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
249922000.0,41.58462,-71.2867,0.0,143.2,511.0,70.0,15.0,225.0,32.0,12.0,71.0,1,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,0
220379000.0,36.92358,-75.9211,6.2,305.6,302.0,70.0,0.0,367.0,42.0,15.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
366235000.0,32.84996,-79.93852,0.0,0.0,58.0,70.0,5.0,207.0,29.0,9.9,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
366203000.0,36.8657,-76.31572,0.0,38.6,511.0,70.0,5.0,250.0,32.0,10.2,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,0
308371000.0,35.93562,-74.45473,15.0,18.0,13.0,80.0,0.0,213.0,32.0,12.3,89.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636013274.0,40.63307,-74.20236,0.0,304.8,200.0,80.0,5.0,248.0,43.0,14.9,89.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
563000700.0,40.68342,-74.15006,0.0,282.9,309.0,70.0,0.0,334.0,42.0,14.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
477598800.0,38.42842,-73.60877,14.8,357.2,1.0,72.0,0.0,366.0,48.0,12.1,72.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
357214000.0,33.09713,-77.16757,18.9,250.0,251.0,70.0,0.0,294.0,32.0,13.5,79.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
355321000.0,40.4999,-73.63732,0.0,89.0,178.0,80.0,1.0,228.0,32.0,12.2,80.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
563076200.0,32.82872,-79.89487,2.3,42.6,29.0,71.0,0.0,292.0,32.0,9.8,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
316004370.0,43.43833,-78.5925,12.7,74.0,75.0,70.0,0.0,225.0,23.0,9.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
565661000.0,40.64182,-74.14296,6.4,81.1,76.0,70.0,0.0,337.0,45.0,15.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
235093619.0,35.6744,-74.24852,23.0,45.1,49.0,70.0,0.0,334.0,45.0,14.2,74.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
563073700.0,32.67108,-79.7027,17.2,118.9,120.0,71.0,0.0,299.0,40.0,11.3,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
338295000.0,41.29255,-72.90784,0.0,31.9,186.0,70.0,5.0,248.0,32.0,12.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
370271000.0,40.52078,-71.83095,12.9,268.0,267.0,70.0,0.0,277.0,40.0,14.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
538008722.0,40.45438,-69.223,12.3,90.0,94.0,80.0,0.0,250.0,44.0,-12.5,80.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
316001635.0,42.75775,-79.3955,10.0,227.3,224.0,70.0,0.0,225.0,23.0,9.0,70.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
311000465.0,40.44697,-73.81047,7.0,286.8,291.0,80.0,0.0,242.0,42.0,15.4,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
357444000.0,26.22993,-79.1068,13.9,231.7,232.0,70.0,0.0,202.0,30.0,11.9,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
563757000.0,40.51026,-72.41582,9.0,269.8,269.0,70.0,0.0,292.0,32.0,13.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
566780000.0,38.35979,-74.56793,15.4,321.7,321.0,70.0,0.0,232.0,32.0,11.8,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
374727000.0,37.29049,-76.09993,0.2,94.1,156.0,70.0,1.0,229.0,38.0,12.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636092682.0,39.83165,-72.96345,13.2,326.9,328.0,70.0,0.0,305.0,40.0,14.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
255805961.0,37.27424,-76.12111,18.3,18.1,20.0,70.0,0.0,300.0,40.0,14.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
